clip_id,show_id,label,duration_sec
Podcast_0_0,Podcast_0,Fluent,3.0
Podcast_1_1,Podcast_1,WordRep,3.0
Podcast_2_2,Podcast_2,Prolongation,3.0
Podcast_3_3,Podcast_3,Block,3.0
Podcast_4_4,Podcast_4,Fluent,3.0
Podcast_0_5,Podcast_0,Fluent,3.0
Podcast_1_6,Podcast_1,Fluent,3.0
Podcast_2_7,Podcast_2,SoundRep,3.0
Podcast_3_8,Podcast_3,Block,3.0
Podcast_4_9,Podcast_4,Prolongation,3.0
Podcast_0_10,Podcast_0,Fluent,3.0
Podcast_1_11,Podcast_1,WordRep,3.0
Podcast_2_12,Podcast_2,SoundRep,3.0
Podcast_3_13,Podcast_3,Fluent,3.0
Podcast_4_14,Podcast_4,Fluent,3.0
Podcast_0_15,Podcast_0,Fluent,3.0
Podcast_1_16,Podcast_1,Fluent,3.0
Podcast_2_17,Podcast_2,Block,3.0
Podcast_3_18,Podcast_3,Block,3.0
Podcast_4_19,Podcast_4,Fluent,3.0
Podcast_0_20,Podcast_0,Block,3.0
Podcast_1_21,Podcast_1,Fluent,3.0
Podcast_2_22,Podcast_2,Fluent,3.0
Podcast_3_23,Podcast_3,Fluent,3.0
Podcast_4_24,Podcast_4,Block,3.0
Podcast_0_25,Podcast_0,Prolongation,3.0
Podcast_1_26,Podcast_1,Fluent,3.0
Podcast_2_27,Podcast_2,Block,3.0
Podcast_3_28,Podcast_3,Block,3.0
Podcast_4_29,Podcast_4,Fluent,3.0
Podcast_0_30,Podcast_0,Block,3.0
Podcast_1_31,Podcast_1,Fluent,3.0
Podcast_2_32,Podcast_2,Fluent,3.0
Podcast_3_33,Podcast_3,WordRep,3.0
Podcast_4_34,Podcast_4,WordRep,3.0
Podcast_0_35,Podcast_0,SoundRep,3.0
Podcast_1_36,Podcast_1,Fluent,3.0
Podcast_2_37,Podcast_2,Fluent,3.0
Podcast_3_38,Podcast_3,Prolongation,3.0
Podcast_4_39,Podcast_4,Block,3.0
Podcast_0_40,Podcast_0,Fluent,3.0
Podcast_1_41,Podcast_1,Block,3.0
Podcast_2_42,Podcast_2,Fluent,3.0
Podcast_3_43,Podcast_3,WordRep,3.0
Podcast_4_44,Podcast_4,Fluent,3.0
Podcast_0_45,Podcast_0,Prolongation,3.0
Podcast_1_46,Podcast_1,Fluent,3.0
Podcast_2_47,Podcast_2,Block,3.0
Podcast_3_48,Podcast_3,Block,3.0
Podcast_4_49,Podcast_4,Fluent,3.0
Podcast_0_50,Podcast_0,WordRep,3.0
Podcast_1_51,Podcast_1,Prolongation,3.0
Podcast_2_52,Podcast_2,WordRep,3.0
Podcast_3_53,Podcast_3,SoundRep,3.0
Podcast_4_54,Podcast_4,Block,3.0
Podcast_0_55,Podcast_0,WordRep,3.0
Podcast_1_56,Podcast_1,Fluent,3.0
Podcast_2_57,Podcast_2,Fluent,3.0
Podcast_3_58,Podcast_3,Fluent,3.0
Podcast_4_59,Podcast_4,Fluent,3.0
Podcast_0_60,Podcast_0,Fluent,3.0
Podcast_1_61,Podcast_1,Fluent,3.0
Podcast_2_62,Podcast_2,SoundRep,3.0
Podcast_3_63,Podcast_3,Fluent,3.0
Podcast_4_64,Podcast_4,Fluent,3.0
Podcast_0_65,Podcast_0,Block,3.0
Podcast_1_66,Podcast_1,Fluent,3.0
Podcast_2_67,Podcast_2,SoundRep,3.0
Podcast_3_68,Podcast_3,Fluent,3.0
Podcast_4_69,Podcast_4,WordRep,3.0
Podcast_0_70,Podcast_0,Prolongation,3.0
Podcast_1_71,Podcast_1,Fluent,3.0
Podcast_2_72,Podcast_2,Fluent,3.0
Podcast_3_73,Podcast_3,SoundRep,3.0
Podcast_4_74,Podcast_4,Prolongation,3.0
Podcast_0_75,Podcast_0,Prolongation,3.0
Podcast_1_76,Podcast_1,Prolongation,3.0
Podcast_2_77,Podcast_2,Fluent,3.0
Podcast_3_78,Podcast_3,Fluent,3.0
Podcast_4_79,Podcast_4,Fluent,3.0
Podcast_0_80,Podcast_0,SoundRep,3.0
Podcast_1_81,Podcast_1,Block,3.0
Podcast_2_82,Podcast_2,Fluent,3.0
Podcast_3_83,Podcast_3,Fluent,3.0
Podcast_4_84,Podcast_4,Fluent,3.0
Podcast_0_85,Podcast_0,Fluent,3.0
Podcast_1_86,Podcast_1,Prolongation,3.0
Podcast_2_87,Podcast_2,Block,3.0
Podcast_3_88,Podcast_3,SoundRep,3.0
Podcast_4_89,Podcast_4,Block,3.0
Podcast_0_90,Podcast_0,Fluent,3.0
Podcast_1_91,Podcast_1,Prolongation,3.0
Podcast_2_92,Podcast_2,Prolongation,3.0
Podcast_3_93,Podcast_3,Block,3.0
Podcast_4_94,Podcast_4,Prolongation,3.0
Podcast_0_95,Podcast_0,Block,3.0
Podcast_1_96,Podcast_1,Block,3.0
Podcast_2_97,Podcast_2,Block,3.0
Podcast_3_98,Podcast_3,Fluent,3.0
Podcast_4_99,Podcast_4,Fluent,3.0
